,word_appear_set,class_word_appear_set,word_doc_set,doc_class_set,bdc
hull,"[0, 0, 0, 0, 0, 0, 0, 3]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 0, 0, 0, 0, 0, 0, 2]","[2673, 1435, 223, 225, 176, 140, 70, 107]",1.0
path,"[0, 1, 1, 0, 0, 0, 1, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 1, 1, 0, 0, 0, 1, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.6998632283
otto,"[0, 0, 0, 0, 1, 2, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 0, 0, 0, 1, 2, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.736136120788
eagleslair,"[0, 3, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 1, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",1.0
hulk,"[0, 0, 0, 0, 0, 0, 0, 3]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 0, 0, 0, 0, 0, 0, 3]","[2673, 1435, 223, 225, 176, 140, 70, 107]",1.0
axworthi,"[0, 0, 0, 3, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 0, 0, 1, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",1.0
burpe,"[0, 3, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 1, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",1.0
hvt,"[1, 2, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[1, 2, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.695486935294
wix,"[2, 1, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[2, 1, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.692352629535
ethanol,"[2, 1, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[2, 1, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.692352629535
theori,"[0, 0, 0, 0, 2, 1, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 0, 0, 0, 2, 1, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.669618146276
allen-bradley,"[3, 0, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[1, 0, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",1.0
al-qaba,"[0, 0, 3, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 0, 3, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",1.0
forseeabl,"[2, 1, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[2, 1, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.692352629535
mla,"[1, 0, 0, 0, 0, 0, 0, 2]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[1, 0, 0, 0, 0, 0, 0, 1]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.919030935356
pre,"[3, 0, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[3, 0, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",1.0
persian,"[0, 0, 1, 0, 0, 0, 0, 2]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 0, 1, 0, 0, 0, 0, 1]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.804197144877
belg,"[3, 0, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[1, 0, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",1.0
nashashibi,"[0, 0, 0, 0, 3, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 0, 0, 0, 1, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",1.0
anti-trust,"[0, 3, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 3, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",1.0
ncb,"[3, 0, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[1, 0, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",1.0
ash,"[1, 1, 0, 0, 0, 0, 0, 1]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[1, 1, 0, 0, 0, 0, 0, 1]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.753089259361
teeco,"[3, 0, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[2, 0, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",1.0
pciac,"[0, 0, 3, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 0, 1, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",1.0
fauber,"[3, 0, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[1, 0, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",1.0
rediscount,"[0, 0, 0, 0, 0, 3, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 0, 0, 0, 0, 1, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",1.0
roffman,"[0, 3, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 1, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",1.0
cpcn,"[0, 3, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 3, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",1.0
taco,"[0, 3, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 2, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",1.0
eia,"[0, 0, 3, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 0, 1, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",1.0
kaakebeen,"[0, 0, 0, 0, 0, 0, 0, 3]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 0, 0, 0, 0, 0, 0, 2]","[2673, 1435, 223, 225, 176, 140, 70, 107]",1.0
pearl,"[0, 0, 3, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 0, 3, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",1.0
lowranc,"[3, 0, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[2, 0, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",1.0
pom,"[3, 0, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[3, 0, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",1.0
finlay,"[0, 3, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 1, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",1.0
billion-dlr,"[1, 2, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[1, 2, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.695486935294
teva,"[0, 3, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 1, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",1.0
ernest,"[0, 3, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 3, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",1.0
gape,"[0, 0, 1, 0, 1, 0, 0, 1]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 0, 1, 0, 1, 0, 0, 1]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.524571929488
poy,"[3, 0, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[1, 0, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",1.0
baltimor,"[0, 3, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 1, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",1.0
tpnpa,"[1, 0, 2, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[1, 0, 2, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.830566406633
diamet,"[2, 0, 1, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[1, 0, 1, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.692655843632
mlp,"[3, 0, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[3, 0, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",1.0
sped,"[0, 3, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 1, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",1.0
trillion,"[0, 1, 0, 0, 0, 0, 2, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 1, 0, 0, 0, 0, 1, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.940372173492
unti,"[0, 0, 2, 1, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 0, 2, 1, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.706451779852
boatmen,"[0, 0, 0, 0, 0, 3, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 0, 0, 0, 0, 1, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",1.0
novatron,"[0, 3, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 1, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",1.0
feretti,"[0, 3, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 1, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",1.0
regrett,"[0, 2, 0, 1, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 2, 0, 1, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.681144558334
albertson,"[1, 2, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[1, 1, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.695486935294
hug,"[2, 1, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[2, 1, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.692352629535
inher,"[0, 2, 0, 1, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 2, 0, 1, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.681144558334
hub,"[0, 3, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 2, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",1.0
shoichi,"[0, 0, 0, 3, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 0, 0, 3, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",1.0
unreal,"[3, 0, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[3, 0, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",1.0
rent,"[2, 0, 1, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[2, 0, 1, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.692655843632
tune,"[1, 1, 0, 1, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[1, 1, 0, 1, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.556600273023
prestig,"[0, 2, 1, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 2, 1, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.691137252243
amerford,"[0, 3, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 1, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",1.0
hut,"[0, 2, 1, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 2, 1, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.691137252243
algoma,"[1, 2, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[1, 1, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.695486935294
crest,"[3, 0, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[1, 0, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",1.0
lugar,"[0, 0, 0, 0, 0, 0, 0, 3]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 0, 0, 0, 0, 0, 0, 1]","[2673, 1435, 223, 225, 176, 140, 70, 107]",1.0
cojuangco,"[0, 3, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 3, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",1.0
metallgesellschaft,"[1, 2, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[1, 1, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.695486935294
mono,"[0, 3, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 1, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",1.0
ltc,"[2, 1, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[2, 1, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.692352629535
ceasar,"[0, 3, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 1, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",1.0
mccrann,"[3, 0, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[1, 0, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",1.0
eac,"[3, 0, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[2, 0, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",1.0
ead,"[3, 0, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[3, 0, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",1.0
unaffili,"[1, 2, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[1, 2, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.695486935294
templeton,"[1, 2, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[1, 1, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.695486935294
t-bond,"[0, 0, 0, 0, 3, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 0, 0, 0, 1, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",1.0
chittagong,"[0, 0, 0, 0, 0, 0, 0, 3]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 0, 0, 0, 0, 0, 0, 2]","[2673, 1435, 223, 225, 176, 140, 70, 107]",1.0
third-parti,"[2, 0, 0, 1, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[2, 0, 0, 1, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.682358789268
toshin,"[0, 3, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 1, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",1.0
pertain,"[0, 1, 1, 0, 0, 1, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 1, 1, 0, 0, 1, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.601482048128
cheyenn,"[0, 3, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 1, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",1.0
gevaert,"[1, 2, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[1, 1, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.695486935294
cheat,"[0, 0, 3, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 0, 3, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",1.0
deterg,"[2, 1, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[2, 1, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.692352629535
sperri,"[0, 3, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 2, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",1.0
microtel,"[0, 3, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 1, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",1.0
mohawk,"[3, 0, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[1, 0, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",1.0
to-fit,"[3, 0, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[2, 0, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",1.0
harvest,"[0, 2, 0, 0, 1, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 1, 0, 0, 1, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.722085142769
high-end,"[1, 0, 0, 2, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[1, 0, 0, 1, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.814687569836
cntrs,"[3, 0, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[3, 0, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",1.0
jiang,"[0, 0, 0, 0, 0, 0, 0, 3]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 0, 0, 0, 0, 0, 0, 1]","[2673, 1435, 223, 225, 176, 140, 70, 107]",1.0
envis,"[0, 1, 0, 0, 1, 1, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 1, 0, 0, 1, 1, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.585076046407
grass,"[0, 3, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 1, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",1.0
unpreced,"[1, 1, 0, 0, 1, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[1, 1, 0, 0, 1, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.635551565492
unregul,"[1, 0, 0, 2, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[1, 0, 0, 2, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.814687569836
reclaim,"[0, 2, 1, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 2, 1, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.691137252243
usin,"[1, 2, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[1, 2, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.695486935294
ligero,"[0, 0, 0, 3, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 0, 0, 1, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",1.0
excis,"[0, 0, 3, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 0, 2, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",1.0
eromanga,"[0, 3, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 2, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",1.0
crd,"[3, 0, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[1, 0, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",1.0
burri,"[3, 0, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[1, 0, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",1.0
roll-on,"[0, 0, 0, 0, 0, 0, 0, 3]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 0, 0, 0, 0, 0, 0, 2]","[2673, 1435, 223, 225, 176, 140, 70, 107]",1.0
kenosha,"[0, 3, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 3, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",1.0
relev,"[0, 2, 0, 0, 1, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 2, 0, 0, 1, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.722085142769
hess,"[0, 1, 2, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 1, 2, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.828459862046
equiticorp,"[0, 3, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 2, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",1.0
duffour,"[0, 3, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 1, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",1.0
angus,"[3, 0, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[1, 0, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",1.0
forstmann,"[0, 3, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 1, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",1.0
lent,"[0, 0, 1, 0, 0, 2, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 0, 1, 0, 0, 2, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.774856500223
sc,"[2, 0, 1, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[2, 0, 1, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.692655843632
stant,"[0, 3, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 2, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",1.0
adsa,"[2, 1, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[2, 1, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.692352629535
pegasus,"[3, 0, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[3, 0, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",1.0
